priority,estimated_time,time_remaining,assigned_to,breach,penalty_cost,priority_score,time_used,time_ratio,completion_percentage,urgency_score,risk_score,tight_deadline,very_tight,overwork,predicted_breach,probability,SLA_Status,AI_Insight
High,89,97,D,0,8134,3,-8,1.0777777777777777,-8.88888888888889,2.7579162410623086,-0.23333333333333317,0,0,0,1,0.43248044428100196,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,63,90,F,0,9572,3,-27,1.40625,-42.1875,2.118270079435128,-1.21875,0,0,0,0,0.3167767414674108,✅ SLA SAFE,
Medium,128,84,B,0,4178,2,44,0.6511627906976745,34.10852713178294,3.0249736194161096,0.6976744186046511,0,0,0,1,0.48681867072584695,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,154,40,C,0,1062,1,114,0.25806451612903225,73.54838709677419,3.730445246690734,0.7419354838709677,0,0,0,1,0.476131681068956,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,157,97,B,0,1868,1,60,0.6139240506329114,37.9746835443038,1.6027591803611279,0.38607594936708856,0,0,0,1,0.48313968590946305,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,104,18,E,1,9289,3,86,0.17142857142857143,81.9047619047619,16.53543307086614,2.4857142857142858,1,0,0,1,0.47503427090672595,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,68,18,B,1,9144,3,50,0.2608695652173913,72.46376811594203,11.075441412520064,2.217391304347826,1,0,0,1,0.49924333930287745,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,114,58,B,0,8220,3,56,0.5043478260869565,48.69565217391305,5.832628909551987,1.4869565217391305,0,0,0,1,0.467491292591715,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,69,27,C,0,7618,3,42,0.38571428571428573,60.0,7.581227436823104,1.842857142857143,0,0,0,1,0.49607970839145876,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,197,73,F,0,1230,1,124,0.3686868686868687,62.62626262626263,2.6407041877834088,0.6313131313131313,0,0,0,1,0.4558405054340474,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,132,119,E,0,999,1,13,0.8947368421052632,9.774436090225564,1.1052937754508434,0.10526315789473684,0,0,0,1,0.4564254142547478,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,116,34,F,0,4938,2,82,0.2905982905982906,70.08547008547008,6.653397782200739,1.4188034188034186,0,0,0,1,0.4986756806658791,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,142,90,F,0,3291,2,52,0.6293706293706294,36.36363636363637,3.1280761238105654,0.7412587412587412,0,0,0,1,0.4781821327269853,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,142,104,D,0,1672,1,38,0.7272727272727273,26.573426573426573,1.3563501849568433,0.2727272727272727,0,0,0,1,0.4670631383782766,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,77,86,B,0,9411,3,-9,1.1025641025641026,-11.538461538461538,2.6964738418990546,-0.30769230769230793,0,0,0,0,0.3731052816842501,✅ SLA SAFE,
High,97,11,B,1,8227,3,86,0.11224489795918367,87.75510204081633,24.540901502504177,2.663265306122449,1,0,0,1,0.5116849079025634,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,136,31,D,0,1553,1,105,0.22627737226277372,76.64233576642336,4.232313870868087,0.7737226277372262,0,0,0,1,0.4782205832458098,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,80,21,F,0,3776,2,59,0.25925925925925924,72.8395061728395,7.4277854195323245,1.4814814814814814,0,0,0,1,0.5109022346683082,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,125,13,A,1,9126,3,112,0.10317460317460317,88.88888888888889,26.50771388499299,2.6904761904761907,1,0,0,1,0.4693353257651895,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,129,9,F,1,1657,1,120,0.06923076923076923,92.3076923076923,12.62135922330097,0.9307692307692308,1,1,0,1,0.5390120642370168,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,133,5,D,1,4909,2,128,0.03731343283582089,95.52238805970148,42.27129337539432,1.9253731343283582,1,1,0,1,0.5577343221137342,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,90,61,C,0,9887,3,29,0.6703296703296703,31.868131868131865,4.4096268777257315,0.9890109890109892,0,0,0,1,0.501394411849134,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,108,83,E,0,9730,3,25,0.7614678899082569,22.93577981651376,3.8886906885479844,0.7155963302752294,0,0,0,1,0.49225228089585976,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,90,59,B,0,4465,2,31,0.6483516483516484,34.065934065934066,3.0378901685862125,0.7032967032967032,0,0,0,1,0.5133756197012248,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,121,68,A,0,3093,2,53,0.5573770491803278,43.44262295081967,3.5249927766541465,0.8852459016393444,0,0,0,1,0.4771618171135232,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,63,112,C,0,9827,3,-49,1.75,-76.5625,1.7045454545454546,-2.25,0,0,0,0,0.3947627976046389,✅ SLA SAFE,
High,119,81,D,0,9301,3,38,0.675,31.666666666666664,4.37956204379562,0.9749999999999999,0,0,0,1,0.4815865999019835,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,102,52,C,0,8588,3,50,0.5048543689320388,48.54368932038835,5.826890439373939,1.4854368932038835,0,0,0,1,0.4699378260824467,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,112,114,F,0,8539,3,-2,1.008849557522124,-1.7699115044247788,2.9444975245374794,-0.026548672566371723,0,0,0,0,0.3662851588030931,✅ SLA SAFE,
Medium,108,7,E,1,4648,2,101,0.06422018348623854,92.66055045871559,26.946847960444995,1.8715596330275228,1,1,0,1,0.5043954545142849,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,166,96,C,0,1848,1,70,0.5748502994011976,41.91616766467065,1.7098392546329477,0.4251497005988024,0,0,0,1,0.4665216261711494,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,92,69,B,0,4002,2,23,0.7419354838709677,24.731182795698924,2.6598026598026596,0.5161290322580645,0,0,0,1,0.518400396740806,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,99,105,A,0,9533,3,-6,1.05,-6.0,2.830188679245283,-0.15000000000000013,0,0,0,0,0.395497668625906,✅ SLA SAFE,
Medium,140,105,E,0,3133,2,35,0.7446808510638298,24.822695035460992,2.650126867775585,0.5106382978723405,0,0,0,1,0.4660671644161173,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,128,113,B,0,1132,1,15,0.875968992248062,11.627906976744185,1.1287076734622452,0.12403100775193798,0,0,0,1,0.4410956921141218,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,161,82,B,0,1336,1,79,0.5061728395061729,48.76543209876543,1.9373355656541495,0.49382716049382713,0,0,0,1,0.48012327075795225,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,113,110,B,0,9564,3,3,0.9649122807017544,2.631578947368421,3.0771999280187154,0.10526315789473684,0,0,0,1,0.45621814098422964,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,188,104,B,0,821,1,84,0.5502645502645502,44.44444444444444,1.7848710926433091,0.44973544973544977,0,0,0,1,0.47134380281249866,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,84,46,D,0,9182,3,38,0.5411764705882353,44.70588235294118,5.44290288153682,1.3764705882352941,0,0,0,1,0.4971819921542685,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,144,7,G,1,990,1,137,0.04827586206896552,94.48275862068965,17.159763313609467,0.9517241379310345,1,1,0,1,0.4551770736075905,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,195,7,B,1,1672,1,188,0.03571428571428571,95.91836734693877,21.875,0.9642857142857143,1,1,0,1,0.4784765226480907,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,103,17,B,1,7803,3,86,0.16346153846153846,82.6923076923077,17.29490022172949,2.5096153846153846,1,0,0,1,0.49102595279700606,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,113,89,C,0,3441,2,24,0.7807017543859649,21.052631578947366,2.5293987131129354,0.4385964912280702,0,0,0,1,0.47117887009602377,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,66,15,E,1,8562,3,51,0.22388059701492538,76.11940298507463,12.827058072750479,2.328358208955224,1,0,0,1,0.5683789124068725,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,130,56,D,0,3249,2,74,0.42748091603053434,56.48854961832062,4.571627988134706,1.1450381679389312,0,0,0,1,0.47255064999282953,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,136,79,D,0,1473,1,57,0.5766423357664233,41.605839416058394,1.7046161503048403,0.4233576642335767,0,0,0,1,0.46163064728867303,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,137,76,F,0,1049,1,61,0.5507246376811594,44.20289855072464,1.7834065650038768,0.4492753623188406,0,0,0,1,0.4678667565132016,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,126,102,B,0,3571,2,24,0.8031496062992126,18.89763779527559,2.459571995739324,0.39370078740157477,0,0,0,1,0.4753622765281367,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,198,78,C,0,823,1,120,0.39195979899497485,60.30150753768844,2.4878109763720464,0.6080402010050252,0,0,0,1,0.44788142949977583,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,128,50,A,0,867,1,78,0.3875968992248062,60.46511627906976,2.5151101579255215,0.6124031007751938,0,0,0,1,0.45258771410014015,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,195,100,E,0,1487,1,95,0.5102040816326531,48.46938775510204,1.9223224794036877,0.4897959183673469,0,0,0,1,0.4711935052043921,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
