priority,estimated_time,time_remaining,assigned_to,breach,penalty_cost,priority_score,time_used,time_ratio,completion_percentage,urgency_score,risk_score,tight_deadline,very_tight,predicted_breach,probability,SLA_Status,reassigned_to,automation_action,escalation_tier,had_pool_capacity,previous_assignee,financial_exposure_ev,prevention_value_estimate,cost_leakage_flag,AI_MultiAgent,AI_Insight
High,120,110,B,0,7461,3,10,0.9090909090909091,8.264462809917356,3.264094955489614,0.2727272727272728,0,0,1,0.5661206114068562,AT_RISK,A,REASSIGN,T0,True,B,4223.825881706554,3590.251999450571,1,"{""reason"": ""Breach risk near 57% with priority High and 110 units of time left; penalty exposure reference $7461. Automation state: REASSIGN."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 57% with priority High and 110 units of time left; penalty exposure reference $7461. Automation state: REASSIGN.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
High,60,120,E,0,9768,3,-60,1.9672131147540983,-98.36065573770492,1.517287123787414,-2.901639344262295,0,0,0,0.48940757507237703,SAFE,E,MONITOR,T0,True,,4780.533193306979,0.0,0,,
Medium,95,108,C,0,4959,2,-13,1.125,-13.541666666666666,1.7621145374449338,-0.25,0,0,1,0.5008101941660243,AT_RISK,D,MONITOR,T0,True,C,2483.517752869315,0.0,1,"{""reason"": ""Breach risk near 50% with priority Medium and 108 units of time left; penalty exposure reference $4959. Automation state: MONITOR."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 50% with priority Medium and 108 units of time left; penalty exposure reference $4959. Automation state: MONITOR.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
High,130,43,A,0,8534,3,87,0.3282442748091603,66.41221374045801,8.86932972241029,2.015267175572519,0,0,0,0.35204387259745684,SAFE,A,MONITOR,T0,True,,3004.3424087466965,0.0,0,,
Medium,101,11,D,1,4014,2,90,0.10784313725490197,88.23529411764706,16.97171381031614,1.784313725490196,1,0,0,0.39621628515775675,SAFE,D,MONITOR,T0,True,,1590.4121686232356,0.0,1,,
Medium,126,13,G,1,4917,2,113,0.10236220472440945,88.9763779527559,17.79957953749124,1.795275590551181,1,0,0,0.4946928231927478,SAFE,G,MONITOR,T0,True,,2432.4046116387412,0.0,1,,
High,89,97,D,0,8134,3,-8,1.0777777777777777,-8.88888888888889,2.7579162410623086,-0.23333333333333317,0,0,0,0.4485538888163503,SAFE,D,MONITOR,T0,True,,3648.537331632193,0.0,0,,
High,63,90,F,0,9572,3,-27,1.40625,-42.1875,2.118270079435128,-1.21875,0,0,0,0.23903264588240375,SAFE,F,MONITOR,T0,True,,2288.0204863863687,0.0,0,,
Medium,128,84,B,0,4178,2,44,0.6511627906976745,34.10852713178294,3.0249736194161096,0.6976744186046511,0,0,0,0.43631889896846293,SAFE,B,MONITOR,T0,True,,1822.9403598902381,0.0,0,,
Low,154,40,C,0,1062,1,114,0.25806451612903225,73.54838709677419,3.730445246690734,0.7419354838709677,0,0,0,0.45102965255405564,SAFE,C,MONITOR,T0,True,,478.9934910124071,0.0,0,,
Low,157,97,B,0,1868,1,60,0.6139240506329114,37.9746835443038,1.6027591803611279,0.38607594936708856,0,0,0,0.4718116706360349,SAFE,B,MONITOR,T0,True,,881.3442007481132,0.0,0,,
High,104,18,E,1,9289,3,86,0.17142857142857143,81.9047619047619,16.53543307086614,2.4857142857142858,1,0,0,0.33422228692493905,SAFE,E,MONITOR,T0,True,,3104.5908232457587,0.0,1,,
High,68,18,B,1,9144,3,50,0.2608695652173913,72.46376811594203,11.075441412520064,2.217391304347826,1,0,0,0.3964765115192238,SAFE,B,MONITOR,T0,True,,3625.3812213317824,0.0,1,,
High,114,58,B,0,8220,3,56,0.5043478260869565,48.69565217391305,5.832628909551987,1.4869565217391305,0,0,0,0.39912710125957496,SAFE,B,MONITOR,T0,True,,3280.824772353706,0.0,0,,
High,69,27,C,0,7618,3,42,0.38571428571428573,60.0,7.581227436823104,1.842857142857143,0,0,0,0.3827866473051912,SAFE,C,MONITOR,T0,True,,2916.0686791709463,0.0,0,,
Low,197,73,F,0,1230,1,124,0.3686868686868687,62.62626262626263,2.6407041877834088,0.6313131313131313,0,0,0,0.42175839574500745,SAFE,F,MONITOR,T0,True,,518.7628267663591,0.0,0,,
Low,132,119,E,0,999,1,13,0.8947368421052632,9.774436090225564,1.1052937754508434,0.10526315789473684,0,0,0,0.45069718436071726,SAFE,E,MONITOR,T0,True,,450.24648717635654,0.0,0,,
Medium,116,34,F,0,4938,2,82,0.2905982905982906,70.08547008547008,6.653397782200739,1.4188034188034186,0,0,1,0.5494718079027607,AT_RISK,A,MONITOR,T0,True,F,2713.2917874238324,0.0,1,"{""reason"": ""Breach risk near 55% with priority Medium and 34 units of time left; penalty exposure reference $4938. Automation state: MONITOR."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 55% with priority Medium and 34 units of time left; penalty exposure reference $4938. Automation state: MONITOR.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
Medium,142,90,F,0,3291,2,52,0.6293706293706294,36.36363636363637,3.1280761238105654,0.7412587412587412,0,0,0,0.4823117737711746,SAFE,F,MONITOR,T0,True,,1587.2880474809356,0.0,0,,
Low,142,104,D,0,1672,1,38,0.7272727272727273,26.573426573426573,1.3563501849568433,0.2727272727272727,0,0,0,0.44216806458081115,SAFE,D,MONITOR,T0,True,,739.3050039791162,0.0,0,,
High,77,86,B,0,9411,3,-9,1.1025641025641026,-11.538461538461538,2.6964738418990546,-0.30769230769230793,0,0,0,0.3114548748103341,SAFE,B,MONITOR,T0,True,,2931.1018268400544,0.0,0,,
High,97,11,B,1,8227,3,86,0.11224489795918367,87.75510204081633,24.540901502504177,2.663265306122449,1,0,1,0.5418162931440403,AT_RISK,D,MONITOR,T0,True,B,4457.52264369602,0.0,1,"{""reason"": ""Breach risk near 54% with priority High and 11 units of time left; penalty exposure reference $8227. Automation state: MONITOR."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 54% with priority High and 11 units of time left; penalty exposure reference $8227. Automation state: MONITOR.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
Low,136,31,D,0,1553,1,105,0.22627737226277372,76.64233576642336,4.232313870868087,0.7737226277372262,0,0,0,0.4284793288082261,SAFE,D,MONITOR,T0,True,,665.4283976391752,0.0,0,,
Medium,80,21,F,0,3776,2,59,0.25925925925925924,72.8395061728395,7.4277854195323245,1.4814814814814814,0,0,0,0.4715759349804325,SAFE,F,MONITOR,T0,True,,1780.6707304861131,0.0,0,,
High,125,13,A,1,9126,3,112,0.10317460317460317,88.88888888888889,26.50771388499299,2.6904761904761907,1,0,0,0.30263148478665625,SAFE,A,MONITOR,T0,True,,2761.814930163025,0.0,1,,
Low,129,9,F,1,1657,1,120,0.06923076923076923,92.3076923076923,12.62135922330097,0.9307692307692308,1,1,1,0.6015776792993566,AT_RISK,A,REASSIGN,T0,True,F,996.8142145990338,847.2920824091786,1,"{""reason"": ""Breach risk near 60% with priority Low and 9 units of time left; penalty exposure reference $1657. Automation state: REASSIGN."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 60% with priority Low and 9 units of time left; penalty exposure reference $1657. Automation state: REASSIGN.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
Medium,133,5,D,1,4909,2,128,0.03731343283582089,95.52238805970148,42.27129337539432,1.9253731343283582,1,1,1,0.5313340375295214,AT_RISK,A,MONITOR,T0,True,D,2608.3187902324203,0.0,1,"{""reason"": ""Breach risk near 53% with priority Medium and 5 units of time left; penalty exposure reference $4909. Automation state: MONITOR."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 53% with priority Medium and 5 units of time left; penalty exposure reference $4909. Automation state: MONITOR.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
High,90,61,C,0,9887,3,29,0.6703296703296703,31.868131868131865,4.4096268777257315,0.9890109890109892,0,0,1,0.5205021739847341,AT_RISK,D,MONITOR,T0,True,C,5146.2049941870655,0.0,1,"{""reason"": ""Breach risk near 52% with priority High and 61 units of time left; penalty exposure reference $9887. Automation state: MONITOR."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 52% with priority High and 61 units of time left; penalty exposure reference $9887. Automation state: MONITOR.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
High,108,83,E,0,9730,3,25,0.7614678899082569,22.93577981651376,3.8886906885479844,0.7155963302752294,0,0,0,0.4757765984212986,SAFE,E,MONITOR,T0,True,,4629.306302639236,0.0,0,,
Medium,90,59,B,0,4465,2,31,0.6483516483516484,34.065934065934066,3.0378901685862125,0.7032967032967032,0,0,1,0.52861406863949,AT_RISK,D,MONITOR,T0,True,B,2360.261816475323,0.0,1,"{""reason"": ""Breach risk near 53% with priority Medium and 59 units of time left; penalty exposure reference $4465. Automation state: MONITOR."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 53% with priority Medium and 59 units of time left; penalty exposure reference $4465. Automation state: MONITOR.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
Medium,121,68,A,0,3093,2,53,0.5573770491803278,43.44262295081967,3.5249927766541465,0.8852459016393444,0,0,0,0.46525862515047617,SAFE,A,MONITOR,T0,True,,1439.0449275904227,0.0,0,,
High,63,112,C,0,9827,3,-49,1.75,-76.5625,1.7045454545454546,-2.25,0,0,0,0.4002154524234455,SAFE,C,MONITOR,T0,True,,3932.9172509651985,0.0,0,,
High,119,81,D,0,9301,3,38,0.675,31.666666666666664,4.37956204379562,0.9749999999999999,0,0,0,0.4242686498697973,SAFE,D,MONITOR,T0,True,,3946.1227124389848,0.0,0,,
High,102,52,C,0,8588,3,50,0.5048543689320388,48.54368932038835,5.826890439373939,1.4854368932038835,0,0,0,0.4090961584227303,SAFE,C,MONITOR,T0,True,,3513.3178085344075,0.0,0,,
High,112,114,F,0,8539,3,-2,1.008849557522124,-1.7699115044247788,2.9444975245374794,-0.026548672566371723,0,0,0,0.2581883270342485,SAFE,F,MONITOR,T0,True,,2204.670124545448,0.0,0,,
Medium,108,7,E,1,4648,2,101,0.06422018348623854,92.66055045871559,26.946847960444995,1.8715596330275228,1,1,0,0.44227873412636476,SAFE,E,MONITOR,T0,True,,2055.7115562193435,0.0,1,,
Low,166,96,C,0,1848,1,70,0.5748502994011976,41.91616766467065,1.7098392546329477,0.4251497005988024,0,0,0,0.47202617450747897,SAFE,C,MONITOR,T0,True,,872.3043704898212,0.0,0,,
Medium,92,69,B,0,4002,2,23,0.7419354838709677,24.731182795698924,2.6598026598026596,0.5161290322580645,0,0,1,0.5688829312672625,AT_RISK,A,REASSIGN,T0,True,B,2276.6694909315847,1935.1690672918469,1,"{""reason"": ""Breach risk near 57% with priority Medium and 69 units of time left; penalty exposure reference $4002. Automation state: REASSIGN."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 57% with priority Medium and 69 units of time left; penalty exposure reference $4002. Automation state: REASSIGN.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
High,99,105,A,0,9533,3,-6,1.05,-6.0,2.830188679245283,-0.15000000000000013,0,0,0,0.3042750637427662,SAFE,A,MONITOR,T0,True,,2900.65418265979,0.0,0,,
Medium,140,105,E,0,3133,2,35,0.7446808510638298,24.822695035460992,2.650126867775585,0.5106382978723405,0,0,0,0.4584679850374129,SAFE,E,MONITOR,T0,True,,1436.3801971222144,0.0,0,,
Low,128,113,B,0,1132,1,15,0.875968992248062,11.627906976744185,1.1287076734622452,0.12403100775193798,0,0,0,0.33494802032178733,SAFE,B,MONITOR,T0,True,,379.16115900426325,0.0,0,,
Low,161,82,B,0,1336,1,79,0.5061728395061729,48.76543209876543,1.9373355656541495,0.49382716049382713,0,0,0,0.47306823680922977,SAFE,B,MONITOR,T0,True,,632.019164377131,0.0,0,,
High,113,110,B,0,9564,3,3,0.9649122807017544,2.631578947368421,3.0771999280187154,0.10526315789473684,0,0,0,0.46638575797495935,SAFE,B,MONITOR,T0,True,,4460.513389272512,0.0,0,,
Low,188,104,B,0,821,1,84,0.5502645502645502,44.44444444444444,1.7848710926433091,0.44973544973544977,0,0,0,0.47124494915656184,SAFE,B,MONITOR,T0,True,,386.89210325753726,0.0,0,,
High,84,46,D,0,9182,3,38,0.5411764705882353,44.70588235294118,5.44290288153682,1.3764705882352941,0,0,1,0.5064601578431799,AT_RISK,A,MONITOR,T0,True,D,4650.3171693160775,0.0,1,"{""reason"": ""Breach risk near 51% with priority High and 46 units of time left; penalty exposure reference $9182. Automation state: MONITOR."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 51% with priority High and 46 units of time left; penalty exposure reference $9182. Automation state: MONITOR.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
Low,144,7,G,1,990,1,137,0.04827586206896552,94.48275862068965,17.159763313609467,0.9517241379310345,1,1,0,0.37125800905924783,SAFE,G,MONITOR,T0,True,,367.54542896865536,0.0,1,,
Low,195,7,B,1,1672,1,188,0.03571428571428571,95.91836734693877,21.875,0.9642857142857143,1,1,0,0.3851923567770388,SAFE,B,MONITOR,T0,True,,644.0416205312089,0.0,1,,
High,103,17,B,1,7803,3,86,0.16346153846153846,82.6923076923077,17.29490022172949,2.5096153846153846,1,0,0,0.44680578707265234,SAFE,B,MONITOR,T0,True,,3486.4255565279063,0.0,1,,
Medium,113,89,C,0,3441,2,24,0.7807017543859649,21.052631578947366,2.5293987131129354,0.4385964912280702,0,0,0,0.42465907554222165,SAFE,C,MONITOR,T0,True,,1461.2518789407848,0.0,0,,
High,66,15,E,1,8562,3,51,0.22388059701492538,76.11940298507463,12.827058072750479,2.328358208955224,1,0,1,0.6506008090205713,AT_RISK,D,REASSIGN,T0,True,E,5570.444126834132,4734.877507809012,1,"{""reason"": ""Breach risk near 65% with priority High and 15 units of time left; penalty exposure reference $8562. Automation state: REASSIGN."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 65% with priority High and 15 units of time left; penalty exposure reference $8562. Automation state: REASSIGN.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
Medium,130,56,D,0,3249,2,74,0.42748091603053434,56.48854961832062,4.571627988134706,1.1450381679389312,0,0,0,0.4645987643592351,SAFE,D,MONITOR,T0,True,,1509.4813854031547,0.0,0,,
Low,136,79,D,0,1473,1,57,0.5766423357664233,41.605839416058394,1.7046161503048403,0.4233576642335767,0,0,0,0.4348883018037237,SAFE,D,MONITOR,T0,True,,640.590468556885,0.0,0,,
Low,137,76,F,0,1049,1,61,0.5507246376811594,44.20289855072464,1.7834065650038768,0.4492753623188406,0,0,0,0.4480748734299049,SAFE,F,MONITOR,T0,True,,470.0305422279702,0.0,0,,
Medium,126,102,B,0,3571,2,24,0.8031496062992126,18.89763779527559,2.459571995739324,0.39370078740157477,0,0,0,0.47570437993621234,SAFE,B,MONITOR,T0,True,,1698.7403407522143,0.0,0,,
Low,198,78,C,0,823,1,120,0.39195979899497485,60.30150753768844,2.4878109763720464,0.6080402010050252,0,0,0,0.4260024185105795,SAFE,C,MONITOR,T0,True,,350.5999904342069,0.0,0,,
Low,128,50,A,0,867,1,78,0.3875968992248062,60.46511627906976,2.5151101579255215,0.6124031007751938,0,0,0,0.4232299191820334,SAFE,A,MONITOR,T0,True,,366.940339930823,0.0,0,,
Low,195,100,E,0,1487,1,95,0.5102040816326531,48.46938775510204,1.9223224794036877,0.4897959183673469,0,0,0,0.4842404663523615,SAFE,E,MONITOR,T0,True,,720.0655734659616,0.0,0,,
Medium,101,83,G,0,3028,2,18,0.8137254901960784,17.647058823529413,2.427993334920257,0.37254901960784315,0,0,0,0.4672078751296597,SAFE,G,MONITOR,T0,True,,1414.7054458926095,0.0,0,,
Low,181,98,F,0,1711,1,83,0.5384615384615384,45.604395604395606,1.8232819074333801,0.46153846153846156,0,0,0,0.4573222646425787,SAFE,F,MONITOR,T0,True,,782.4783948034521,0.0,0,,
High,114,67,F,0,7701,3,47,0.5826086956521739,40.869565217391305,5.062362435803376,1.2521739130434784,0,0,0,0.47013246487961796,SAFE,F,MONITOR,T0,True,,3620.4901120379377,0.0,0,,
High,79,114,F,0,8219,3,-35,1.425,-43.75,2.090592334494773,-1.2750000000000001,0,0,0,0.29126947952324395,SAFE,F,MONITOR,T0,True,,2393.943852201542,0.0,0,,
Medium,134,81,G,0,3108,2,53,0.6,39.25925925925926,3.278688524590164,0.8,0,0,0,0.4813990558685079,SAFE,G,MONITOR,T0,True,,1496.1882656393225,0.0,0,,
High,94,118,G,0,7392,3,-24,1.2421052631578948,-25.263157894736842,2.3959646910466583,-0.7263157894736845,0,0,0,0.28219694710812726,SAFE,G,MONITOR,T0,True,,2085.9998330232766,0.0,0,,
Low,201,120,F,0,921,1,81,0.594059405940594,40.099009900990104,1.6554663169972137,0.40594059405940597,0,0,0,0.4601471930300092,SAFE,F,MONITOR,T0,True,,423.7955647806385,0.0,0,,
Low,211,82,G,0,1189,1,129,0.3867924528301887,60.84905660377359,2.520209224916785,0.6132075471698113,0,0,0,0.4627689803699936,SAFE,G,MONITOR,T0,True,,550.2323176599224,0.0,0,,
Low,132,40,G,0,1450,1,92,0.3007518796992481,69.17293233082707,3.2180014517299784,0.6992481203007519,0,0,0,0.4837556976529445,SAFE,G,MONITOR,T0,True,,701.4457615967696,0.0,0,,
Low,145,114,G,0,1230,1,31,0.7808219178082192,21.232876712328768,1.2645071886367574,0.2191780821917808,0,0,0,0.3943433132653794,SAFE,G,MONITOR,T0,True,,485.0422753164167,0.0,0,,
Low,153,20,E,0,1701,1,133,0.12987012987012986,86.36363636363636,7.149489322191272,0.8701298701298701,0,0,0,0.35406134221262814,SAFE,E,MONITOR,T0,True,,602.2583431036804,0.0,0,,
Medium,103,35,D,0,3301,2,68,0.33653846153846156,65.38461538461539,5.7713651498335174,1.3269230769230769,0,0,0,0.49472785466896485,SAFE,D,MONITOR,T0,True,,1633.096648262253,0.0,0,,
Low,210,43,C,0,1965,1,167,0.2037914691943128,79.14691943127961,4.677455109731767,0.7962085308056872,0,0,0,0.34633444718839534,SAFE,C,MONITOR,T0,True,,680.5471887251969,0.0,0,,
Low,214,20,A,0,857,1,194,0.09302325581395349,90.23255813953487,9.706546275395034,0.9069767441860466,0,0,0,0.3825810412411147,SAFE,A,MONITOR,T0,True,,327.8719523436353,0.0,0,,
High,125,45,F,0,8601,3,80,0.35714285714285715,63.49206349206349,8.171206225680933,1.9285714285714284,0,0,0,0.4656009684575573,SAFE,F,MONITOR,T0,True,,4004.63392970345,0.0,0,,
Medium,143,30,A,0,3468,2,113,0.20833333333333334,78.47222222222221,9.16030534351145,1.5833333333333333,0,0,0,0.45678055012625074,SAFE,A,MONITOR,T0,True,,1584.1149478378375,0.0,0,,
Medium,84,49,C,0,3004,2,35,0.5764705882352941,41.17647058823529,3.410230692076229,0.8470588235294119,0,0,0,0.4915504521196736,SAFE,C,MONITOR,T0,True,,1476.6175581674995,0.0,0,,
