task_id,assigned_to,priority,start_time,deadline,completion_time,status,estimated_time,penalty_cost,breach,delay_minutes,time_remaining,risk_level
129,D,Low,2024-01-29 16:36:00,2024-01-29 20:05:00,2024-01-29 21:24:00,Completed_Late,187,1870,True,79,107,Low
130,A,High,2024-01-17 10:47:00,2024-01-17 12:36:00,2024-01-17 12:28:00,Completed_On_Time,114,8276,False,0,30,Medium
131,B,Low,2024-01-15 09:04:00,2024-01-15 12:43:00,2024-01-15 13:33:00,Completed_Late,225,1626,True,50,29,Medium
132,A,Low,2024-01-03 15:08:00,2024-01-03 17:40:00,2024-01-03 16:42:00,Completed_On_Time,134,1480,False,0,62,Low
133,D,Low,2024-01-25 11:58:00,2024-01-25 15:55:00,2024-01-25 14:26:00,Completed_On_Time,217,1463,False,0,136,Low
134,G,Low,2024-01-03 14:01:00,2024-01-03 16:31:00,2024-01-03 15:41:00,Completed_On_Time,162,554,False,0,74,Low
135,F,Medium,2024-01-06 10:59:00,2024-01-06 12:11:00,2024-01-06 11:59:00,Completed_On_Time,60,3326,False,0,39,Medium
136,B,Low,2024-01-06 14:15:00,2024-01-06 17:36:00,2024-01-06 17:59:00,Completed_Late,195,1298,True,23,64,Low
137,D,Medium,2024-01-31 14:16:00,2024-01-31 17:12:00,2024-01-31 16:28:00,Completed_On_Time,152,3783,False,0,81,Low
138,B,Medium,2024-01-12 11:49:00,2024-01-12 14:12:00,2024-01-12 15:30:00,Completed_Late,118,3765,True,78,52,Low
139,G,Medium,2024-01-23 09:30:00,2024-01-23 12:32:00,2024-01-23 12:00:00,Completed_On_Time,173,4735,False,0,119,Low
140,B,Medium,2024-01-20 12:40:00,2024-01-20 15:07:00,2024-01-20 14:59:00,Completed_On_Time,160,2641,False,0,46,Low
141,C,High,2024-01-24 10:07:00,2024-01-24 11:08:00,2024-01-24 10:51:00,Completed_On_Time,74,9894,False,0,50,Low
142,F,High,2024-01-13 13:34:00,2024-01-13 14:19:00,2024-01-13 14:13:00,Completed_On_Time,61,9876,False,0,24,Medium
143,G,Medium,2024-01-29 12:29:00,2024-01-29 15:21:00,2024-01-29 15:05:00,Completed_On_Time,172,2597,False,0,48,Low
144,F,Low,2024-01-29 17:32:00,2024-01-29 19:37:00,2024-01-29 18:52:00,Completed_On_Time,107,743,False,0,18,Medium
145,A,Medium,2024-01-12 17:06:00,2024-01-12 20:17:00,2024-01-12 19:32:00,Completed_On_Time,165,3770,False,0,151,Low
146,G,Medium,2024-01-30 11:54:00,2024-01-30 13:33:00,2024-01-30 13:18:00,Completed_On_Time,103,2816,False,0,71,Low
147,F,Medium,2024-01-21 14:16:00,2024-01-21 15:56:00,2024-01-21 15:59:00,Completed_Late,110,3781,True,3,68,Low
148,C,Low,2024-01-13 09:24:00,2024-01-13 13:35:00,2024-01-13 13:08:00,Completed_On_Time,229,758,False,0,78,Low
149,C,Medium,2024-01-25 15:22:00,2024-01-25 17:57:00,2024-01-25 18:37:00,Completed_Late,170,2827,True,40,136,Low
150,G,High,2024-01-14 17:21:00,2024-01-14 18:44:00,2024-01-14 18:30:00,Completed_On_Time,97,7316,False,0,-9,High
151,E,Medium,2024-01-03 17:10:00,2024-01-03 19:09:00,2024-01-03 18:53:00,Completed_On_Time,133,2461,False,0,48,Low
152,B,High,2024-01-28 15:11:00,2024-01-28 17:26:00,2024-01-28 18:17:00,Completed_Late,112,6414,True,51,30,Medium
153,F,Low,2024-01-01 12:17:00,2024-01-01 14:51:00,2024-01-01 14:16:00,Completed_On_Time,161,1040,False,0,87,Low
154,C,Medium,2024-01-20 10:14:00,2024-01-20 11:49:00,2024-01-20 11:17:00,Completed_On_Time,79,2114,False,0,81,Low
155,G,Low,2024-01-09 10:51:00,2024-01-09 12:59:00,2024-01-09 13:16:00,Completed_Late,147,1189,True,17,-3,High
156,C,High,2024-01-21 11:54:00,2024-01-21 13:38:00,2024-01-21 13:48:00,Completed_Late,114,9047,True,10,76,Low
157,D,High,2024-01-09 13:42:00,2024-01-09 15:38:00,2024-01-09 15:29:00,Completed_On_Time,114,8975,False,0,98,Low
158,E,Medium,2024-01-20 11:50:00,2024-01-20 13:14:00,2024-01-20 14:19:00,Completed_Late,76,4664,True,65,43,Medium
159,A,Low,2024-01-28 14:45:00,2024-01-28 16:36:00,2024-01-28 16:05:00,Completed_On_Time,120,1614,False,0,55,Low
160,D,Low,2024-01-13 13:28:00,2024-01-13 15:50:00,2024-01-13 16:06:00,Completed_Late,146,855,True,16,64,Low
161,A,Medium,2024-01-15 10:53:00,2024-01-15 13:52:00,2024-01-15 12:58:00,Completed_On_Time,165,2783,False,0,138,Low
162,E,Low,2024-01-15 13:19:00,2024-01-15 15:20:00,2024-01-15 14:43:00,Completed_On_Time,108,568,False,0,25,Medium
163,B,High,2024-01-19 14:06:00,2024-01-19 15:59:00,2024-01-19 15:37:00,Completed_On_Time,99,9978,False,0,48,Low
164,F,Low,2024-01-02 11:01:00,2024-01-02 14:32:00,2024-01-02 12:56:00,Completed_On_Time,188,1301,False,0,150,Low
165,F,Low,2024-01-24 10:21:00,2024-01-24 13:14:00,2024-01-24 13:44:00,Completed_Late,189,1853,True,30,95,Low
166,C,Low,2024-01-23 13:20:00,2024-01-23 14:42:00,2024-01-23 14:42:00,Completed_On_Time,92,1306,False,0,17,Medium
167,B,Medium,2024-01-25 10:53:00,2024-01-25 12:24:00,2024-01-25 11:54:00,Completed_On_Time,69,2628,False,0,84,Low
168,D,Medium,2024-01-05 12:48:00,2024-01-05 15:14:00,2024-01-05 14:28:00,Completed_On_Time,157,4035,False,0,56,Low
169,B,Medium,2024-01-28 09:32:00,2024-01-28 12:05:00,2024-01-28 12:01:00,Completed_On_Time,152,4993,False,0,126,Low
170,F,High,2024-01-03 14:45:00,2024-01-03 16:44:00,2024-01-03 18:13:00,Completed_Late,91,9404,True,89,34,Medium
171,D,Medium,2024-01-15 13:45:00,2024-01-15 15:59:00,2024-01-15 16:13:00,Completed_Late,105,2855,True,14,118,Low
172,G,High,2024-01-04 17:39:00,2024-01-04 18:48:00,2024-01-04 19:43:00,Completed_Late,78,9712,True,55,66,Low
173,D,High,2024-01-19 14:04:00,2024-01-19 15:40:00,2024-01-19 15:21:00,Completed_On_Time,80,8656,False,0,62,Low
174,B,Low,2024-01-24 17:12:00,2024-01-24 18:41:00,2024-01-24 18:51:00,Completed_Late,98,1690,True,10,55,Low
175,A,Medium,2024-01-05 12:07:00,2024-01-05 14:29:00,2024-01-05 13:22:00,Completed_On_Time,124,3568,False,0,140,Low
176,G,Low,2024-01-31 10:47:00,2024-01-31 13:25:00,2024-01-31 14:33:00,Completed_Late,157,1667,True,68,69,Low
177,D,Medium,2024-01-15 15:00:00,2024-01-15 16:39:00,2024-01-15 16:09:00,Completed_On_Time,80,3434,False,0,89,Low
178,G,Low,2024-01-30 09:38:00,2024-01-30 11:51:00,2024-01-30 11:38:00,Completed_On_Time,150,1631,False,0,121,Low
179,B,Low,2024-01-12 10:19:00,2024-01-12 14:32:00,2024-01-12 14:00:00,Completed_On_Time,240,741,False,0,131,Low
180,D,High,2024-01-16 15:07:00,2024-01-16 16:33:00,2024-01-16 17:19:00,Completed_Late,93,7778,True,46,72,Low
181,B,Medium,2024-01-05 11:52:00,2024-01-05 13:22:00,2024-01-05 14:20:00,Completed_Late,65,3085,True,58,59,Low
182,E,Medium,2024-01-03 10:58:00,2024-01-03 12:48:00,2024-01-03 12:25:00,Completed_On_Time,114,4687,False,0,56,Low
183,G,Low,2024-01-25 17:43:00,2024-01-25 20:27:00,2024-01-25 20:38:00,Completed_Late,147,1134,True,11,76,Low
184,G,Medium,2024-01-14 16:35:00,2024-01-14 17:54:00,2024-01-14 17:57:00,Completed_Late,95,4488,True,3,18,Medium
185,A,Medium,2024-01-01 09:10:00,2024-01-01 11:54:00,2024-01-01 12:17:00,Completed_Late,175,2758,True,23,130,Low
186,G,High,2024-01-28 13:54:00,2024-01-28 15:05:00,2024-01-28 15:11:00,Completed_Late,81,7302,True,6,51,Low
187,B,High,2024-01-21 15:00:00,2024-01-21 16:19:00,2024-01-21 16:00:00,Completed_On_Time,98,5496,False,0,20,Medium
188,A,Medium,2024-01-13 14:08:00,2024-01-13 16:56:00,2024-01-13 15:46:00,Completed_On_Time,152,4881,False,0,121,Low
189,D,High,2024-01-11 10:55:00,2024-01-11 12:54:00,2024-01-11 12:06:00,Completed_On_Time,100,8736,False,0,117,Low
190,F,Low,2024-01-28 10:29:00,2024-01-28 13:33:00,2024-01-28 12:16:00,Completed_On_Time,158,1878,False,0,47,Low
191,D,High,2024-01-03 12:52:00,2024-01-03 14:42:00,2024-01-03 14:03:00,Completed_On_Time,115,6959,False,0,41,Medium
192,B,Medium,2024-01-07 10:15:00,2024-01-07 11:09:00,2024-01-07 10:51:00,Completed_On_Time,60,2110,False,0,22,Medium
193,E,Medium,2024-01-03 12:30:00,2024-01-03 15:06:00,2024-01-03 15:30:00,Completed_Late,129,3389,True,24,106,Low
194,E,Medium,2024-01-17 15:39:00,2024-01-17 18:11:00,2024-01-17 17:25:00,Completed_On_Time,144,2806,False,0,24,Medium
195,E,Medium,2024-01-11 11:09:00,2024-01-11 12:49:00,2024-01-11 12:08:00,Completed_On_Time,84,2241,False,0,85,Low
196,D,Low,2024-01-06 10:45:00,2024-01-06 13:07:00,2024-01-06 12:29:00,Completed_On_Time,116,1390,False,0,80,Low
197,G,Medium,2024-01-19 13:52:00,2024-01-19 14:57:00,2024-01-19 14:42:00,Completed_On_Time,68,2683,False,0,-2,High
198,F,High,2024-01-22 14:59:00,2024-01-22 16:06:00,2024-01-22 15:53:00,Completed_On_Time,68,9045,False,0,22,Medium
199,D,Medium,2024-01-30 12:09:00,2024-01-30 14:46:00,2024-01-30 15:16:00,Completed_Late,146,2480,True,30,100,Low
200,C,Low,2024-01-13 16:35:00,2024-01-13 18:50:00,2024-01-13 18:32:00,Completed_On_Time,154,1929,False,0,129,Low
201,C,Medium,2024-01-11 17:30:00,2024-01-11 19:34:00,2024-01-11 18:46:00,Completed_On_Time,99,2578,False,0,26,Medium
202,G,Medium,2024-01-23 10:09:00,2024-01-23 11:19:00,2024-01-23 11:07:00,Completed_On_Time,62,3938,False,0,20,Medium
